Gen,Max Fitness,Average Fitness,Max Fitness Genome
172,0.8125,0.7564,10011000000101111111111000100000000000100011010111101011101000000011000011100101001000001000000100101100
173,0.8125,0.7572875,11100000011011101011011000110100000000100011010111010010111000100011001010100111001000001000000100011100
174,0.8125,0.7572375,01111000101000111010001101101000000000000011010111110011101001000010001010100101001000001000000100011100
175,0.8125,0.7594,00011000001010100111110000110000000000100011010111010001101000001011011010100000001000001000000100011100
176,0.8125,0.7540625,00110010100101110011101000100000000000100011010111010001101100000011001000000001001000001000000100011100
177,0.8125,0.7572875,01101100010011101000100000100100000000100011010111010001001000000010101100100011001000001000000100011100
178,0.8125,0.7575375,11110110001010101011111000010100000000000011010111010001101101000010001000100001001000001000000100011100
179,0.8125,0.7554375,11000010011011101001010001000100000000100011010111010001101010000001000010101001001000001000000101111100
180,0.8125,0.755825,01100010110001110000100001011000000000100011010111000001101001000011001011101001001000001000000100011100
181,0.8125,0.7580625,10011001000010001010001000100000000000100011010111110000101100010011001010101001001000001000000100011100
182,0.8125,0.757825,01000011100010100111110100110000000000100011010111010001101000100101001011101001001000001000000100011100
183,0.8125,0.7568875,01100000101001100111111101001000000000100011010111000001101001000110000010111011001000001000000100011100
184,0.8125,0.7578625,10010111010010101011111100011000000000100011010111110001100000001110001001101000001000001000000100011100
185,0.8125,0.75065,00101110010000101111001100101000000000100011010111010101000010111011001100101001001000001000000100011100
186,0.8125,0.7553875,11000011101111111011111010000000000000100011010111101010111001100011100011100000001000001000000100011100
187,0.8125,0.758575,11011101001110110010011010100100000000000011010111110101101110000001100010100001001000001000000100011100
188,0.8125,0.755875,00001011101111111011111010000000000000100011010111010000100000001011000011100101001000001000000100011100
189,0.8125,0.7517875,00100101111000100010111000110100000000100011010111010101110000000001011010110010001000001000000100011100
190,0.8125,0.7544375,10010111010010101011111000110000000000000011010111010001101000100001000010110001001000001000000100101100
191,0.8125,0.75415,01101101011010110101001010000000000000100011010111000011100000000011001000110001001000001000000100011100
192,0.8125,0.7549875,01111100100110101101011100100000000000100011010111100101000100000011001110010101001000001000000100101100
193,0.8125,0.7517625,11111101111001111010110000000100000000100011010111100001100000000010001100100000001000001000000100101100
194,0.8125,0.7574625,10101110010111011010010010001000000000000011010111110001000100000001101000100001001000001000000100011100
195,0.8125,0.757725,00000100100010101011111000101000000000100011010111000011011000000011101010100001001000001000000100011100
196,0.8125,0.755225,00110011010110100011100101010000000000100011010111000001100000010011101100001001001000001000000100011100
197,0.8125,0.7548625,11001011101011101101001110100100000000100011010111100000101000010011000110001011001000001000000100011100
198,0.8125,0.752675,11110101001100111000110100000000000000100011010111010001111100000011001110001001001000001000000100011100
199,0.8125,0.752825,01100001010010101011100001100000000000100011010111110001100010000000101011100101001000001000000100011100
200,0.8125,0.755375,00011111011010101001111100111100000000100011010111010001101100000011111011100001001000001000000100011100
201,0.8125,0.7536875,01011000001010110111011010100000000000100011010111010001101000100101001011100101001000001000000100011100
202,0.8125,0.7550375,01111111010110101110111100100000000000100011010111110001101010010001001010110101001000001000000100101100
203,0.8125,0.7537375,00110000101011001010111010101000000000000011010111110110001100001011011110100000001000001000000100011100
204,0.8125,0.76015,00001000101000001000110001101000000000100011010111010111110000101001000010110001001000001000000100011100
205,0.8125,0.7577875,00111001110101011011110010001100000000000011010111010001001000000001001010100101001000001000000100011100
206,0.8125,0.7552,01011011001010010011100000011000000000100011010111010001101100010011101011101001001000001000000100011100
207,0.8125,0.7549,11010000001010101001100011100000000000000011010111110001111100011001101010101001001000001000000100011100
208,0.8125,0.7539375,00101000001011111010111010101100000000100011010111011011111000010011001010110011001000001000000100011100
209,0.8125,0.7560375,10101000001010001010011000110000000000100011010111010011101001000011101000100101001000001000000100011100
