"settings: {'CHANGING_GOAL': False, 'N_pop': 5000, 'B': 104, 'Pc': 0.5, 'L': 100000, 'MAX_GATES': 12, 'G': 20, 'Pm': 0.00673076923076923}"
Gen,Max Fitness,Average Fitness,Max Fitness Genome
140,0.875,0.8165875,00000100110111001111000010000010010001101100011100000110010000100110011001100000000001001010111111001010
141,0.875,0.8175,00000100110111001001000010000000110001001110100110000110010000100110011000111001010000001111001111111010
142,0.875,0.8140875,00000100110111101100000010000001010001001111101110000110010000100110011000101001000001011011110101011010
143,0.875,0.8159625,00000100110111100100000010000010010001001100000101000110010000100110011110111001010101011011000111011010
144,0.875,0.82115,00000100110111111001000010000000001001101100000100000110010000100110010000111001010001111000111111011010
145,0.875,0.8185,00000100110101001001000010000001000000100100001100000110010000100110010000111011101101000001111111001010
146,0.875,0.8214625,00000100110011111001000010000000001001000100101110000110010000100110011000111100100001101010110011011010
147,0.875,0.817825,00000100111111001001000010000010010011000100101100000110010000100110011100110001100010000111011111001010
148,0.875,0.8129125,00000100110001001101000010000010010001000110101100000110010000100110011100111011110000011110011011001010
149,0.875,0.814875,00000100111111000001000010000010010001111100111010000110010000100110011000110001011011001010111110011010
150,0.875,0.8192125,00000100111011001111000010000001000001001100111100000110010000100110011100101010000000111011011101011010
151,0.875,0.819075,00000100110111001101000010000000000101001110000000000110010000100110011101111000001011001011011011011010
152,0.875,0.81715,00000100110110111111000010000001101101001110001100000110010000100110011000100001111000001110111101001010
153,0.875,0.8173625,00000100111111010110000010000011111001011110001100000110010000100110011100110000000001011110101110101010
154,0.875,0.8165375,00000100110000001101000010000001010000101110101110000110010000100110011100001100000001011011011101011010
155,0.875,0.8179375,00000100110111100001000010000000010001001110111101000110010000100110011010111000100000000011010011011010
156,0.875,0.8182,00000100111111111101000010000000010001001100000100000110010000100110011010100000000001010010011011011010
157,0.875,0.8168625,00001100011001000101000010000001000100010000101110000110010000100110011100101001010010000010100101001010
158,0.875,0.817725,00000100111111011001000010000011111001100100011100000110010000100110010111111001000001001011111111111010
159,0.875,0.816725,00000100110100100100000010000000010000001010100111000110010000100110011100011001101100001011011111001010
160,0.875,0.8205,00000100110001101100000010000000010001001100011100000110010000100110010000111000110110111001011111001010
161,0.875,0.814975,00000100110111011011000010000000001011000111101000000110010000100110011100111011110010011000100011011010
162,0.875,0.8174875,00000100111111001000000010000001010010011110001100000110010000100110010110011111000101111011100111011010
163,0.875,0.81785,00000100110111000101000010000000000000001110011010000110010000100110011100111000010001001110101011001010
164,0.875,0.8154375,00000100110111001101000010000010000001011101101101000110010000100110011000110100111100011001101010111010
165,0.875,0.8145,00000100110011001100000010000000001001100000011100000110010000100110011101000001010000001001101110111010
166,0.875,0.8216,00000100111111101100000010000000011011011100111100000110010000100110011000111110000111011110111111011010
167,0.875,0.8178,00000100110111001100000010000001010001011101101000000110010000100110010101011011010100000011010110101010
168,0.875,0.81625,00000100111011101010000010000000011101000100101100000110010000100110010100111011100110001000011110011010
169,0.875,0.811725,00000100110110101101000010000001110001101111000101000110010000100110011000100011000000100010110100101010
170,0.875,0.80975,00000100111111001001000010000001010111010001011011000110010000100110011100111001000001111011110100111010
171,0.875,0.8192875,00000100111110011101000010000010010001001100110010000110010000100110011000111011010100110010110111101010
172,0.875,0.8202,00000100110001011101000010000011110101011100101000000110010000100110011110100011001100000010011011011010
173,0.875,0.817825,00000100111111001000000010000001010001001101011010000110010000100110010011111100000001111111011111001010
174,0.875,0.81735,00000100111111001101000010000001110101011100010101000110010000100110011101111001011100001001011111001010
175,0.875,0.81315,00000100111111001101000010000010001010101100010101000110010000100110011101101000111000101110110011011010
176,0.875,0.8178625,00000100111111001001000010000001110101111100111100000110010000100110011101011001100000000010111111111010
177,0.875,0.8122125,00000100110101001101000010000000011001101110101101000110010000100110011001101001010111000000110111011010
178,0.875,0.8155125,00000100111111001101000010000001011001010101100100000110010000100110010100011101100100000011010110101010
179,0.875,0.8155,00000100110110101101000010000001010000000101101100000110010000100110011001111101010111001011110111111010
180,0.875,0.810625,00000100110011011110000010000001011000001010110100000110010000100110011101101101010010010100111110111010
181,0.875,0.8189125,00000100110110111100000010000000000100101000000101000110010000100110011000111001000000001011010111011010
182,0.875,0.817525,00000100110111001101000010000010010000011000101000000110010000100110011101110100110100001001011111011010
183,0.875,0.8151375,00000100111001011001000010000010000000101100001000000110010000100110011100111001100001001101010111011010
184,0.875,0.8178375,00000100110101001000000010000000000001101111000101000110010000100110010101010111011000111011110110011010
185,0.875,0.8155375,00000100111101001100000010000001010101001111100001000110010000100110011011100001010001001100111110111010
186,0.875,0.8157125,00000100111110011010000010000010110100001100111101000110010000100110011000101111110001001111110000011010
187,0.875,0.816625,00000100110111011011000010000000011101011111101110000110010000100110011101110111010110000010110111011010
188,0.875,0.8200375,00000100110011011101000010000001110000001101011010000110010000100110011110111000011000101011011101011010
189,0.875,0.817925,00000100110110001100000010000000000001100000011100000110010000100110011001110000010111111011111111001010
190,0.875,0.8103375,00000100110111001001000010000000011000001100111101000110010000100110010100101001110000000000010111011010
191,0.875,0.8154375,00000100110011001101000010000001111101001101110110000110010000100110011001110111100001101011111111011010
192,0.875,0.8196,00000100111001001101000010000010010000001100111100000110010000100110010111111001011000001010011011111010
193,0.875,0.8129625,00000100111100011101000010000001100000111111001110000110010000100110010101101101111001001110110110011010
194,0.875,0.8184625,00000100110110001101000010000000010000001100000100000110010000100110011000101111110001001111110000011010
195,0.875,0.817225,00000100110100101110000010000001110001001110010110000110010000100110011100011001000011110011111100111010
196,0.875,0.8167,00000100110011101101000010000011000001101010001100000110010000100110011100111100011000001000110011111010
197,0.875,0.8180375,00000100111101101110000010000001100011001100101100000110010000100110011001111000100000001011011111011010
198,0.875,0.8151875,00000100110000001101000010000010110011001000000100000110010000100110010101001111000000011010100101001010
199,0.875,0.8117875,00000100110111101101000010000000010101111000101101000110010000100110011100111010000011111010111011111010
