"settings: {'CHANGING_GOAL': False, 'N_pop': 5000, 'B': 104, 'Pc': 0.5, 'L': 100000, 'MAX_GATES': 12, 'Pm': 0.00673076923076923}"
Gen,Max Fitness,Average Fitness,Max Fitness Genome
127,0.6875,0.6672375,11101110110101111001010011001010010101001111110110100010111010001010101101010011100011010000001000001101
128,0.6875,0.66805,11010111101111011101000010001001001000000010101011001111001010001000001100100110101011010000000000001101
129,0.6875,0.667775,11001101011001110010001000011011001010000111010000000110101101100000010110100001110011111100000100011101
130,0.6875,0.6696125,10100101110110011010000000100001111111110010010110100100110010101010010111010001100011100000001100111101
131,0.6875,0.6691125,01000100010011000101001111000001111010110010001011000001000101100000000100110111011000010100001100111101
132,0.6875,0.668675,00100100010010111010000001011100011010011001101110001010111011100000000000000101000110110000001000011101
133,0.6875,0.6695625,00010101001110110100010011001100011000110110010100111111101110001111011111111111011010011000001100011101
134,0.6875,0.670225,00111000000010110011101000101001110100010000000000011010111011101100101011001011010011110000001000001101
135,0.6875,0.6704125,10101100011011001110011010010101100101001010111111001100111100100000010110110101101000011100000100011101
136,0.6875,0.66855,00010111101101011100011000101111010000101011111010010010101000111000100001010011100010111100001000011101
137,0.6875,0.668775,10000010111011111001000010101001010100101010010000001101000111000110111111001010101101111000001100001101
138,0.6875,0.6700625,10111100111100101000001100101000011010111100111100011111101000001110010101011001001011010000000000001101
139,0.6875,0.668475,10110010001111011001101000110110010101001001101111000011110110101001000110001110000010110000000000001101
140,0.6875,0.668,00101000010101100011110111010011100000011011000100011111001100000100110010100111110010000000001000011101
141,0.6875,0.6690625,01010010010011111010001000011110000111011100101000100111101111100000001101100111111011111000001000011101
142,0.6875,0.6693,00110100010010001110000111010101100110110001010110000111001010001101110001000011101010011000000100111101
143,0.6875,0.668275,10000110100100111110110110101000100101011010000010001110101001101100000110111100000101111100001000001101
144,0.6875,0.6673375,10001111110111010110111101001110111001000010100011101111001101001000001011011000001111001000000100011101
145,0.6875,0.6688625,10011110110011011001101110010100101111100011111000011000000101101011011111011101010011111000000000101101
146,0.6875,0.666125,01000110011010001011000010001001000000010000110011011010100101000000111101011010110110100100001000001101
147,0.6875,0.667975,00011001010010101100010011111010000110001010110100010111011100001010001100001001011100011100000000111101
148,0.6875,0.67095,10111110101110110001100010001101111111100011010101100110100110001110000001011010011000010000001000011101
149,0.6875,0.6681625,11111100100010110011000000101001100100110001011000101010100100101000001111100100101001010100001000011101
150,0.6875,0.6653,10010011101110110010111101001100000001001001100000100000111111000010110011100111100111000100001000001101
151,0.6875,0.6677875,11100110110111101011110010101011001001010000011110111000100100101110011110001110100011011100001100001101
152,0.6875,0.669425,01010100100001100100111111010111100010011011000101010110101010001101110101000011100111011000001100111101
153,0.6875,0.6707875,11001110010111110101101000010000011111111100011111101011110100010100110011100111110100100100001000011101
154,0.6875,0.6685125,11011100110010111000111101011000010000110001001110101011001000010100001011111101000010011100001000011101
155,0.6875,0.6675625,11101110010010101101000101011110101110001111101100011001001010110100011101000111001111101000001000101101
156,0.6875,0.667725,10000101110110110111110100000000101100000011111001110101000110001100101000111010100011110100000100011101
157,0.6875,0.666325,01100110001101111110011101111011001110111101100010010110100100100010000110100001101001110000001000001101
158,0.6875,0.6691375,00110100101100000111011110111100001000001111001010010010110111011100100101000010101001011100001000101101
159,0.6875,0.667425,10010001110000000101010001110110001101100010010101010111001000011110001010010011100011100000001000011101
160,0.6875,0.6677625,11101000110001010010110100101101010010111011110011101010011100100011100000010011011101010100001000001101
161,0.6875,0.6667375,00110100100000100011100100000000101100000010101100111110101100001101011001001111110010110000001000011101
162,0.6875,0.6702625,01110010100001010101011010001011011110100001111010001110111001100000110101101100100100011100001100111101
163,0.6875,0.6705375,00000100011110000010010110000110100010010000100010000100001010101010101000001010101101101000000000111101
164,0.6875,0.6683375,11101000001110101011000010111111000100010110000010010011101001110000001110100100100110100100001000001101
165,0.6875,0.6720875,11100110111000001110000010000001111101110110000100100101000001101001000010010101011010110000001000101101
166,0.6875,0.668475,00110111001111010101000000100111001001011010000010001010101100011100000010111100000110110100001000001101
167,0.6875,0.6699,00011010010101000000001110000011101111100011111000010010000100000011100111110111010101110000001000011101
168,0.6875,0.667625,10101010100000101100001110000000010011001010011110000000010001101111011100110111110010100000001100001101
169,0.6875,0.6675875,11011100110100111011111001001100000101110010000001000111001101010111100111011111001100111100001100001101
170,0.6875,0.6657625,00011110110110000100001011011100100111001010010111100110011100010111111111110001000110101000001100011101
171,0.6875,0.6701,10010000000011000010000110100011010111011000001010001101101110000011000011111010100000111100001000011101
172,0.6875,0.6682,11100001111010001010001001001011101100001000000011010110101010000011111011010110110000101100000000101101
173,0.6875,0.667775,11101101101000100010010011100111110011001000001011000010011101111100001111100111100101111000001000001101
174,0.6875,0.668275,11110101111010001010101010010000111001010000100010010010101010000011111011010110110000010000001000011101
175,0.6875,0.670425,00110011100011011001010000000011000110110010110111001100100100111101100010100000111101111000001100011101
176,0.6875,0.6699875,10000100110011111101110001111111101011011001010100000001110110011000000100111100110110101000001100011101
177,0.6875,0.6676625,11101101101110111011000101000011111100011101010011010011001110001111101010110110011110100000001000001101
178,0.6875,0.668325,01111001011101010010100110110011110110011010101010101010101000000011100011010011000101110000001000001101
179,0.6875,0.6670375,00110011110101100001110100101111010111100011111000010011001100101000100110000011011111010100001000001101
180,0.6875,0.6717625,01011110111110010011011100000000100101011001000111101101101100101010000001011110100000011100001000001101
181,0.6875,0.6704,10010001010001111101000000101111001111010011001110001110001100100110100111000110110111110100000100111101
182,0.6875,0.66835,10010010101011101001000011111000100101100110111001110100011100010101101010000000010111101000001100111101
183,0.6875,0.66835,01110100101100111011111011101000111000101010001000001000111001111000011101010101101011110100001000001101
184,0.6875,0.6675625,10001000001011101001001110100101011011101010110110100010101110100110001101000010111111111100001100011101
185,0.6875,0.67125,10010000110010111101110001110001100101100001110000100001110101001000101011000011010110101000001000001101
186,0.6875,0.6677875,00000101100111101110110110000100000110110001101011101001000010011100111000010100011110100100001100011101
187,0.6875,0.66875,10110110010111111001010010111010000110000011101101110111011101011101101100011110111011111100001100011101
188,0.6875,0.6688375,11110001011011010010011100000101100000000111100110010010101101010010110111100001001001101100001100001101
189,0.6875,0.6695125,00110011101011101001111111100101011101101011100001111001001100000110100111011111100000100000001000001101
190,0.6875,0.6683,01111111010001010001111000111101100001110010000000110110110100000110111110000011110001011100001100011101
191,0.6875,0.6676625,11000010101000000101000010011000011110011010110101100011100100100001101111001000000000010100000100011101
192,0.6875,0.670025,11000100100100101110010011000010001100000011101101111110110010100111101100011001101111100100001000101101
193,0.6875,0.671025,11000101101011010000000000000000111010110001100100101011011000001000000011110101100000110000001100011101
194,0.6875,0.6696875,11111111111000101011101111010111101000010010110100011000001110011101100000001100101111000000001100001101
195,0.6875,0.669,11000110001001101001001000100101100000011011100110101011010000100101110001111110010010010000000100101101
196,0.6875,0.6694875,11100010100000110010010100101000011010000000000100111011001100011001010110111110101100101100001100011101
197,0.6875,0.671025,01000111010100100101000000110001111110110110110001111001101001010011101100100111000101100000000100111101
198,0.6875,0.6693375,11111000110101000110110100101101001110010001101110110000101011100100000111110111111111010100001100111101
199,0.6875,0.6671875,01111101110111011101101011000010101001101010010000110110010110011010001000111100001011011100001100011101
200,0.6875,0.6679875,10101100100110110110011101011110010001111010000001011000011010111100000111001001000101110100000100011101
201,0.6875,0.6686125,11001010100000101100001100111011010100000111011100111011000101011111110010111100110111001000001000001101
202,0.6875,0.6699625,00001110100111100011011110100011011010010011110100010110100011101010001101000110111010111100001100011101
203,0.6875,0.6664,10011111010010110111111010100001010010001000000111110000101010101000100001110010110111000100001100011101
204,0.6875,0.6690125,10110100100000111101010110010101010101101100011001101101011000001100001111111001010101000100001000101101
205,0.6875,0.6665875,11011110100111010011111011011101111111111110100101110110100011000110011110100010000001110000001000011101
206,0.6875,0.6685625,10101101101000011100110111001100000001000100111100110011000000001110010100000101001001101000001100001101
207,0.6875,0.665825,10100000100010110100001011000000011010011001111110111001010110101000000111110011011110111000001000101101
208,0.6875,0.669925,11011000101101111001110001011110011100011011110010101100010101001110000110100000100101101100000000001101
209,0.6875,0.6688375,11100000011000111100010100011101000011110100011100101001101000001000100110010111101111010100001000011101
210,0.6875,0.6670875,11001100010011010101001000011011000001001110110110101110011000000000101101010001101011111100001100001101
